feature,importance_mean,importance_std
away_tag_sliding_tackle,0.0,0.0
home_passes,0.0,0.0
away_passes,0.0,0.0
diff_passes,0.0,0.0
away_period_2h,0.0,0.0
home_progressive_pass_rate,0.0,0.0
home_profile_known_share,0.0,0.0
home_event_interruption,0.0,0.0
away_event_offside,0.0,0.0
diff_event_offside,0.0,0.0
away_event_others_on_the_ball,0.0,0.0
away_event_pass,0.0,0.0
diff_event_pass,0.0,0.0
home_duels_neutral,0.0,0.0
home_progressive_passes,0.0,0.0
diff_tag_interception,0.0,0.0
away_tag_key_pass,0.0,0.0
home_tag_left_foot,0.0,0.0
away_tag_opportunity,0.0,0.0
diff_red_cards_total,0.0,0.0
home_save_attempts,0.0,0.0
away_save_attempts,0.0,0.0
home_shots,0.0,0.0
diff_shots,0.0,0.0
home_shots_on_target_or_post,0.0,0.0
home_shots_per_minute,0.0,0.0
away_shots_per_minute,0.0,0.0
diff_shots_per_minute,0.0,0.0
home_subevent_acceleration,0.0,0.0
away_subevent_acceleration,0.0,0.0
diff_subevent_air_duel,0.0,0.0
home_subevent_ball_out_of_the_field,0.0,0.0
home_event_duel,0.0,0.0
away_event_duel,0.0,0.0
diff_event_duel,0.0,0.0
home_event_free_kick,0.0,0.0
home_event_goalkeeper_leaving_line,0.0,0.0
home_dangerous_loss_rate,0.0,0.0
home_duels,0.0,0.0
home_subevent_clearance,0.0,0.0
away_tag_interception,0.0,0.0
diff_subevent_ground_attacking_duel,0.0,0.0
home_subevent_ground_defending_duel,0.0,0.0
away_subevent_ground_defending_duel,0.0,0.0
away_subevent_clearance,0.0,0.0
home_subevent_corner,0.0,0.0
home_subevent_cross,0.0,0.0
home_subevent_foul,0.0,0.0
away_subevent_free_kick,0.0,0.0
diff_subevent_free_kick,0.0,0.0
home_subevent_free_kick_cross,0.0,0.0
home_simple_passes,0.0,0.0
away_simple_passes,0.0,0.0
diff_simple_passes,0.0,0.0
away_subevent_hand_foul,0.0,0.0
diff_subevent_hand_foul,0.0,0.0
away_subevent_hand_pass,0.0,0.0
home_subevent_head_pass,0.0,0.0
diff_subevent_head_pass,0.0,0.0
away_subevent_high_pass,0.0,0.0
home_subevent_late_card_foul,0.0,0.0
home_subevent_free_kick_shot,0.0,0.0
away_subevent_free_kick_shot,0.0,0.0
diff_subevent_free_kick_shot,0.0,0.0
away_subevent_goal_kick,0.0,0.0
home_subevent_goalkeeper_leaving_line,0.0,0.0
away_subevent_goalkeeper_leaving_line,0.0,0.0
diff_subevent_goalkeeper_leaving_line,0.0,0.0
home_subevent_ground_attacking_duel,0.0,0.0
away_subevent_ground_attacking_duel,0.0,0.0
diff_tag_feint,0.0,0.0
away_tag_head_or_body,0.0,0.0
home_tag_indirect,0.0,0.0
diff_duels,0.0,0.0
home_gk_share,0.0,0.0
home_midfielder_share,0.0,0.0
home_forward_share,0.0,0.0
home_counter_attack_rate,0.0,0.0
diff_counter_attack_rate,0.0,0.0
home_crosses,0.0,0.0
home_accelerations,0.0,0.0
away_accelerations,0.0,0.0
home_accurate_crosses,0.0,0.0
diff_accurate_crosses,0.0,0.0
away_yellow_cards_total,0.0,0.0
diff_yellow_cards_total,0.0,0.0
home_prior_matches,0.0,0.0
away_prior_matches,0.0,0.0
away_final_third_events,0.0,0.0
away_fouls,0.0,0.0
diff_fouls,0.0,0.0
home_free_kick_shots,0.0,0.0
away_free_kick_shots,0.0,0.0
away_starting_prior_playerank_median,0.0,0.0
away_profile_known_share,0.0,0.0
away_tag_indirect,0.0,0.0
diff_tag_indirect,0.0,0.0
home_tag_interception,0.0,0.0
diff_subevent_ground_loose_ball_duel,0.0,0.0
diff_subevent_simulation,0.0,0.0
home_subevent_smart_pass,0.0,0.0
away_subevent_smart_pass,0.0,0.0
diff_subevent_smart_pass,0.0,0.0
away_subevent_late_card_foul,0.0,0.0
away_subevent_launch,0.0,0.0
home_subevent_out_of_game_foul,0.0,0.0
away_subevent_out_of_game_foul,0.0,0.0
diff_subevent_out_of_game_foul,0.0,0.0
home_subevent_penalty,0.0,0.0
away_subevent_penalty,0.0,0.0
home_subevent_protest,0.0,0.0
away_subevent_protest,0.0,0.0
diff_subevent_protest,0.0,0.0
home_tag_feint,0.0,0.0
away_tag_feint,0.0,0.0
away_subevent_time_lost_foul,0.0,0.0
diff_subevent_time_lost_foul,0.0,0.0
home_subevent_violent_foul,0.0,0.0
away_subevent_violent_foul,0.0,0.0
diff_subevent_violent_foul,0.0,0.0
home_subevent_whistle,0.0,0.0
away_subevent_save_attempt,0.0,0.0
diff_subevent_save_attempt,0.0,0.0
